MOL, HIS163 (N-N), GLU166 (N-O), affinity, low, high
EN300-129678, 2.34, 2.96, 0.74,1.00, 0.36 
EN300-172191, 2.63, 2.82, 0.12,0.57, -0.33 
EN300-148395, 2.45, 2.81, 0.38,0.89, -0.28 
EN300-122703, 2.48, 2.85, 0.16,0.79, -0.57 
EN300-246322, 2.72, 2.94, 0.29,0.98, -0.38 
EN300-391783, 2.52, 6.65, 0.77,1.07, 0.45 
EN300-106778, 2.39, 2.87, 0.73,1.59, 0.08 
EN300-298506, 2.08, 3.10, 0.67,1.32, -0.02 
EN300-299518, 2.29, 2.77, 0.85,1.24, 0.49 
EN300-316592, 2.39, 5.80, 2.27,3.38, 1.01 
EN300-359542, 2.64, 6.59, 0.32,0.69, -0.09 
EN300-363385, 2.35, 3.93, 0.48,0.88, 0.06 
EN300-365771, 2.48, 2.96, 7.51,8.79, 6.20 
EN300-363413, 2.79, 3.00, 0.23,0.52, -0.14 
EN300-364488, 2.68, 2.78, 1.69,2.56, 0.90 
EN300-364488, 2.53, 3.04, 1.69,2.56, 0.90 
EN300-705961, 2.63, 6.46, 0.68,1.22, 0.07 
EN300-705961, 2.84, 3.18, 0.68,1.22, 0.07 
EN300-1086686, 2.64, 2.95, 0.98,1.64, 0.11 
EN300-1086686, 2.74, 2.92, 0.98,1.64, 0.11 
EN300-1425849, 3.24, 2.81, 0.72,0.99, 0.36 
EN300-1722014, 1.96, 6.08, 1.73,2.06, 1.32 
EN300-1704613, 2.04, 6.11, 1.07,1.58, 0.25 
EN300-1704613, 3.16, 2.97, 1.07,1.58, 0.25 
EN300-6489774, 2.79, 3.08, 0.41,0.93, -0.17 
EN300-26624333, 2.75, 3.56, 1.60,2.15, 0.97 
EN300-26624333, 2.30, 4.43, 1.60,2.15, 0.97 
